text,helpfulness
"A gestao compartilhada, incluindo controle de insumos, gestao de pessoal e prontudrio eletrénico, do Hospital Municipal de Campanha para combate ao COVID-19 (HOSPITAL NOSSA SENHORA DE FATIMA), na cidade de Parnaiba (PD. Tendo base o Chamamento Público n° 01/2020, que trata do credenciamento de organizacdes da sociedade civil para fomento de projetos voltados a modernizacdo administrativa e oferta de servicos de relevancia ptiblica em satide, conforme Termo de Homologacao Publicado no DOM n° 2591, de 17 de abril de 2020. Publicado originalmente em 12/05, pg. 02, com valor estimado de R$ 1.380.000,00 e data de assinatura de 12/05/2020.",1.0
"Repasse Financeiro de Incremento MAC, oriundo da Emenda Parlamentar n° 40430001/2020, publicado na Portaria n° 723, de 6 de abril de 2020 a ser utilizado para complementar Metas de Qualidade e Acesso para o enfrentamento da COVID-19, dos servicos Hospitalares e Ambulatoriais, ndo comtemplados em Plano Operativo original do convénio n° 04/2020, aos usudrios do sistema Unico de Satide - SUS, tendo em vista a natureza continua e a essencialidade dos servicos, no municipio de Parnaiba — PI.",1.0
"O presente Termo Aditivo tem como objeto a alteracao de dois subitem de Cldusulas do TERMO DE COLABORAGAO N® 01/2020: subitem 3.3 da CLAUSULA TERCEIRA -— DA MOVIMENTACAO DOS RECURSOS FINANCEIROS, passa a vigorar com a seguinte redacado: “O repasse dos recursos financeiros a que se refere esta clausula sera efetuado até o valor mensal dos custos operacionais estimado para o Hospital Municipal de Campanha de Parnaiba — Hospital Nossa Senhora de Fatima’. e no subitem",1.0
"presente Convênio tem como objeto o repasse de recurso com despesa de custeio, conforme Portaria n° 3.339/2019 do Ministério da Satide, em atendimento a Lei n° 13.995 do dia 05 de maio de 2020 e a Portaria Ministerial n° 1.393 do dia 21 maio de 2020 e a Portaria Ministerial 1.448 do dia 29 de maio de 2020, para aquisicdo de medicamentos, suprimentos, insumos e produtos hospitalares para atendimento adequado a populacao, para fins especificos de celebracgado de convénio, com justificativa no Processo 15235/2020, Parecer Juridico e Plano de Trabalho em anexo do Processo Apensado de n° 13457/2020;",1.0
"O presente Termo Aditivo tem como objeto acrescer ao Termo de Colaboracéo n° 01/2020, na CLAUSULA TERCEIRA — DA MOVIMENTACGAO DOS RECURSOS FINANCEIROS, o valor majorado em R$ 206.071,31(duzentos e seis mil, setenta e um reais e trinta e um centavos) referente a contratacao de novos profissionais ao quadro de pessoal para o funcionamento efetivo do Hospital de Campanha Municipal (Nossa Senhora de Fatima), onde houve essa necessidade, devido ao aumento significativo de casos positivados de Covid-19, no Municipio de Parnaiba — PI,",1.0
"Aquisição de 02(dois) Veículo automotor, tipo carga, Marco/Modelo: Fiat Fiorino Furgão Flex transformada para Ambulôncia simples remoçõo, zero quilômetro, motorização: 1.4. 4cc em lima. combustível gasolina/álcool (flex), cv 85,0 IG) / 88,0 (EI, Ano/Modelo 2019/2020 cor sólida, com capacidade para 02 passageros, com sistema de freios ABS, cõmbio com lransmissõo manual de 05 marchas a frente e 1 o ré; direção mecânico, o~-bog duplos e acessórios de segurança exigida pelo legisloçõo de trõnsito vigente para atender os necessidades desta secretario municipal de saúde do munlcfplo de Coraúbas do PialA, visto que no momento estamos em sltuaçõo de emergência de saúde público, em decorrência da infecção humano pelo novo cor ano vlrus- COVI D-19",2.0
"Aquisição de 01 (um) veiculo zero km com 01 (uma) cabine simples, combustível gasolina/álcool, adaptado para ambulância simples remoção. Motorização Mínima de 1.4, com 04 cilindros, zero km. combustível gasolina ou álcool, sistema de freios ABS, ar condicionado no compartimento do motorista e do paciente, direção hidráulica, vidros dianteiros elétricos. travas elétricas. Grafismo na parte da ambulância. com as informações a serem repassadas pelo Município. lluminaç.!io do compartimento hospitalar. Com sistema de ventilaç.!io, oscilante. Parede divisória atrás dos bancos d ianteiros. Banco duplo do assistente. Encosto de Cabeça. Suporte para cilindro de oxigênio.",2.0
"COMPRA DE UM VEICULO DO TIPO AMBULÃNCIA PARA SIMPLES REMOÇÃO QUE SE APRESENTA DE EXTREMA URGiNClA PARA MEDIDAS DE PREVENÇÃO E NA AJUDA NO TRANSPORTE POSSfvEIS INFECTADOS E SUSPEITAS DE COVID-19, POIS O MUNICIPIO FOI CONSTATADO JÃ ALGUNS CASOS DO COVID-19. ESPECIFICAÇÕES DESCRITAS NO ANEXO 1, PARTE INTEGRANTE À INEXIGIBILIDADE 014/2020 PROCEDIMENTO ADMINISTRATIVO 042/2020. DE ACORDO COM A LEI Nº 13.979/2020",2.0
"O presenle conlralo Tem por objetivo a aquisição de UI (uma) Moto zero km, Ano/Modelo: 202a'2020. Cor: prelo, para alender as necessidades, das atividades rotineiras e especificas em combate a pandemia do c.oronavín1s Sars-Cov-2 sobre o palv e no m1111icipio de Lagoa do Barro do Piau//PI, reafüadas pela Secretaria Municipal de Saúde (Vigilância Sanifária/, conforme Termo de Referência e proposta apresenlada pela empresa,· que passam a imegrar o presente lermo",2.0
"COMPRA DE UM VEICULO DO TIPO AMBULÃNCIA tlpo D - UTI, QUE SE APRESENTA DE EXTREMA URGitNCIA PARA MEDIDAS DE PREVENÇÃO E NA AJUDA NO TRANSPORTE POSSÍVEIS INFECTADOS E SUSPEITAS DE COVID-19,",2.0
